,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
tp_rede_Pública,-0.677,0.075,-0.809,-0.527,0.001,0.001,4081.0,5091.0,1.0
tp_organizacao_academica_Faculdade,-0.007,0.04,-0.08,0.071,0.001,0.0,5729.0,5612.0,1.0
"tp_organizacao_academica_Instituto Federal de Educação, Ciência e Tecnologia",0.268,0.127,0.024,0.503,0.002,0.001,5250.0,5651.0,1.0
tp_organizacao_academica_Universidade,-0.227,0.05,-0.32,-0.131,0.001,0.001,4808.0,5431.0,1.0
tp_grau_academico_Licenciatura,0.005,0.035,-0.062,0.07,0.0,0.0,7567.0,6137.0,1.0
tp_grau_academico_Não aplicável,1.257,0.162,0.95,1.564,0.002,0.002,8900.0,6147.0,1.0
tp_grau_academico_Tecnológico,0.106,0.027,0.056,0.158,0.0,0.0,7125.0,6022.0,1.0
tp_modalidade_ensino_Presencial,-0.491,0.037,-0.56,-0.422,0.001,0.0,4773.0,5827.0,1.0
qt_conc,-0.004,0.0,-0.005,-0.004,0.0,0.0,7043.0,5976.0,1.0
prop_doc_avancado,1.562,0.092,1.381,1.73,0.002,0.001,3328.0,4582.0,1.0
prop_ing_pp,0.332,0.035,0.27,0.4,0.0,0.0,5685.0,5488.0,1.0
prop_ing_financiados,-0.14,0.166,-0.456,0.171,0.002,0.002,7285.0,6150.0,1.0
Intercepto,-1.534,0.078,-1.684,-1.391,0.001,0.001,3177.0,4568.0,1.0
Alpha (dispersão),3.02,0.098,2.834,3.201,0.001,0.001,9517.0,5733.0,1.0
