,Coeficiente (log),IRR (exp(coef)),IC 95% (low),IC 95% (high),p-valor
Intercept,-1.6248707992011098,0.1969371179935202,0.15772008887457756,0.24590544375381224,1.206012058873375e-46
C(tp_rede)[T.Pública],-0.7566898627104252,0.46921703203095527,0.37759518570487743,0.583070524951067,8.67956512834839e-12
C(tp_organizacao_academica)[T.Faculdade],-0.060461121072296724,0.9413303662222242,0.8365902005871783,1.059183884475502,0.3150927957946955
"C(tp_organizacao_academica)[T.Instituto Federal de Educação, Ciência e Tecnologia]",0.30773980814645857,1.3603469916803212,0.9062928714291943,2.041882923403615,0.13750986751545866
C(tp_organizacao_academica)[T.Universidade],-0.2463785346543156,0.7816262962795208,0.6833644360561312,0.8940173570657678,0.00032522364324431
C(tp_grau_academico)[T.Licenciatura],0.0042510629839913735,1.0042601115697307,0.9128637415524888,1.104807131428889,0.9304181497625001
C(tp_grau_academico)[T.Não aplicável],1.4985490486685276,4.4751910728932325,2.7048365462434654,7.404268167966627,5.434724361735442e-09
C(tp_grau_academico)[T.Tecnológico],0.06918559942481957,1.0716350855475967,0.9917844318289907,1.1579146835958998,0.07991828443084646
C(tp_modalidade_ensino)[T.Presencial],-0.5813143791360477,0.5591629312603694,0.5003047363622445,0.6249454801669229,1.2613620702171517e-24
qt_conc,-0.0009070658814824267,0.9990933453784182,0.9976580362166783,1.0005307194885824,0.21622911919323806
prop_doc_avancado,1.714672739925595,5.554857331844972,4.227488506017057,7.299000324479497,8.271459531277971e-35
prop_ing_pp,0.3482966619836737,1.4166524543348566,1.2980561668672164,1.5460842354892244,5.807594164044612e-15
prop_ing_financiados,-0.20423270342583713,0.8152726323771678,0.5054576456488186,1.3149854806331196,0.40241161021646554
